,datetime,Open,Close,High,Low,Volume,AdjClose,serial_number
0,1970-03-25 00:00:00-03:00,16.475,16.65,16.85,16.475,1244800.0,1.3474205,0.0
1,1970-03-26 00:00:00-03:00,16.65,16.6625,16.75,16.6375,449600.0,1.3484336,1.0
2,1970-03-30 00:00:00-04:00,16.7125,16.8375,16.8875,16.7125,508800.0,1.3625946,2.0
3,1970-03-31 00:00:00-04:00,16.8375,16.925,16.925,16.8,588800.0,1.3696756,3.0
4,1970-04-01 00:00:00-04:00,16.925,16.8875,17.025,16.8625,521600.0,1.3666407,4.0
5,1970-04-02 00:00:00-04:00,16.85,16.6,16.85,16.5875,417600.0,1.3433735,5.0
6,1970-04-03 00:00:00-04:00,16.5375,16.325,16.5375,16.2875,464000.0,1.3211201,6.0
7,1970-04-06 00:00:00-04:00,16.175,16.025,16.175,15.875,892800.0,1.2968421,7.0
8,1970-04-07 00:00:00-04:00,16.025,16.0,16.15,15.95,555200.0,1.2948185,8.0
9,1970-04-08 00:00:00-04:00,16.0,16.2,16.2,15.975,427200.0,1.3110048,9.0
10,1970-04-09 00:00:00-04:00,16.275,16.2875,16.525,16.275,612800.0,1.3180851,10.0
11,1970-04-10 00:00:00-04:00,16.2875,16.575,16.85,16.2875,1497600.0,1.3413522,11.0
12,1970-04-13 00:00:00-04:00,16.55,16.35,16.55,16.31875,424000.0,1.3231431,12.0
13,1970-04-14 00:00:00-04:00,16.325,16.2375,16.325,16.0625,633600.0,1.3140397,13.0
14,1970-04-15 00:00:00-04:00,16.2375,16.1625,16.35,16.1375,444800.0,1.3079687,14.0
15,1970-04-16 00:00:00-04:00,16.1625,16.0375,16.25,16.025,459200.0,1.2978537,15.0
16,1970-04-17 00:00:00-04:00,16.0375,16.125,16.175,15.975,545600.0,1.3049355,16.0
17,1970-04-20 00:00:00-04:00,16.15,16.225,16.2875,16.15,436800.0,1.3130268,17.0
18,1970-04-21 00:00:00-04:00,16.225,16.05,16.25,16.05,428800.0,1.2988645,18.0
19,1970-04-22 00:00:00-04:00,15.98125,15.65,15.98125,15.65,1353600.0,1.2664948,19.0
20,1970-04-23 00:00:00-04:00,15.65,15.48125,15.725,15.475,1059200.0,1.2528384,20.0
21,1970-04-24 00:00:00-04:00,15.48125,15.45,15.575,15.3,851200.0,1.2503107,21.0
22,1970-04-27 00:00:00-04:00,15.45,15.075,15.5,14.98125,1641600.0,1.2199621,22.0
23,1970-04-28 00:00:00-04:00,14.9875,14.5125,14.9875,14.5,2020800.0,1.1744416,23.0
24,1970-04-29 00:00:00-04:00,14.5125,15.0125,15.05,14.3125,2081600.0,1.2149038,24.0
25,1970-04-30 00:00:00-04:00,15.0125,14.9,15.0125,14.725,923200.0,1.2057995,25.0
26,1970-05-01 00:00:00-04:00,14.9,14.8375,14.95,14.6,915200.0,1.205597,26.0
27,1970-05-04 00:00:00-04:00,14.73125,14.15,14.73125,14.1,1721600.0,1.1497351,27.0
28,1970-05-05 00:00:00-04:00,14.15,14.15,14.2,13.95,1377600.0,1.1497351,28.0
29,1970-05-06 00:00:00-04:00,14.15,14.375,14.55,14.025,1603200.0,1.1680175,29.0
30,1970-05-07 00:00:00-04:00,14.375,14.4875,14.50625,14.375,545600.0,1.1771576,30.0
31,1970-05-08 00:00:00-04:00,14.4875,14.525,14.525,14.35,536000.0,1.1802061,31.0
32,1970-05-11 00:00:00-04:00,14.475,14.275,14.475,14.25,460800.0,1.1598916,32.0
33,1970-05-12 00:00:00-04:00,14.275,14.125,14.4125,13.9,972800.0,1.1477042,33.0
34,1970-05-13 00:00:00-04:00,13.9375,13.75,13.9375,13.7125,1643200.0,1.1172339,34.0
35,1970-05-14 00:00:00-04:00,13.725,13.425,13.725,13.1,1665600.0,1.0908259,35.0
36,1970-05-15 00:00:00-04:00,13.425,13.5375,13.55,13.15,2096000.0,1.0999682,36.0
37,1970-05-18 00:00:00-04:00,13.5375,13.5,13.575,13.475,787200.0,1.0969216,37.0
38,1970-05-19 00:00:00-04:00,13.425,12.925,13.425,12.925,1017600.0,1.0501997,38.0
39,1970-05-20 00:00:00-04:00,12.775,12.525,12.775,12.475,1576000.0,1.0176984,39.0
40,1970-05-21 00:00:00-04:00,12.2875,12.275,12.2875,11.85,2536000.0,0.99738497,40.0
41,1970-05-22 00:00:00-04:00,12.275,12.4,12.5,12.15,1163200.0,1.0075415,41.0
42,1970-05-25 00:00:00-04:00,12.3625,12.05,12.3625,12.05,1011200.0,0.9791029,42.0
43,1970-05-26 00:00:00-04:00,12.05,12.1,12.3625,11.9,2307200.0,0.9831658,43.0
44,1970-05-27 00:00:00-04:00,12.25,12.95,13.025,12.25,1873600.0,1.0522314,44.0
45,1970-05-28 00:00:00-04:00,12.95,13.35,13.3875,12.95,2089600.0,1.0847322,45.0
46,1970-05-29 00:00:00-04:00,13.35,13.9,13.9875,13.175,1779200.0,1.1294211,46.0
47,1970-06-01 00:00:00-04:00,13.9,14.35,14.35,13.8,1659200.0,1.165986,47.0
48,1970-06-02 00:00:00-04:00,14.325,14.15,14.325,13.9625,1204800.0,1.1497351,48.0
49,1970-06-03 00:00:00-04:00,14.15,14.15,14.2375,13.9,1337600.0,1.1497351,49.0
50,1970-06-04 00:00:00-04:00,14.0625,13.5625,14.0625,13.5125,1080000.0,1.1019996,50.0
51,1970-06-05 00:00:00-04:00,13.5625,13.5,13.6625,13.2125,1540800.0,1.0969216,51.0
52,1970-06-08 00:00:00-04:00,13.5,13.3125,13.675,13.2625,612800.0,1.0816855,52.0
53,1970-06-09 00:00:00-04:00,13.3125,13.4125,13.475,13.25,664000.0,1.0898116,53.0
54,1970-06-10 00:00:00-04:00,13.4125,13.275,13.4375,13.1,644800.0,1.078638,54.0
